ID,SEASON,TRIAL,A_x,A_y,B_x,B_y,C_x,C_y,D_x,D_y,FOOD_x,FOOD_y,cmxpixel,unique_trial_ID
20200804-2,winter,T1,61.216352,72.33056,115.728896,15.524608,170.417856,71.977728,116.610976,125.608192,139.545056,26.4624,0.176416,winter_20200804-2_T1
20200804-2,winter,T2,62.098432,72.506976,116.963808,16.230272,170.947104,71.272064,116.963808,125.431776,139.015808,27.168064,0.176416,winter_20200804-2_T2
20200804-2,winter,T3,61.039936,71.977728,115.905312,16.75952,170.065024,71.801312,117.140224,125.961024,138.48656,27.168064,0.176416,winter_20200804-2_T3
20200804-2,winter,T4,61.569184,72.33056,116.963808,16.230272,170.594272,71.272064,116.787392,125.078944,138.310144,26.638816,0.176416,winter_20200804-2_T4
20200804-2,winter,T5,61.7456,72.33056,116.081728,17.465184,170.417856,71.44848,116.787392,126.13744,137.780896,26.109568,0.176416,winter_20200804-2_T5
20200804-2,winter,T6,61.569184,71.44848,116.787392,16.053856,170.770688,71.44848,116.787392,125.784608,138.839392,26.638816,0.176416,winter_20200804-2_T6
20200804-2,winter,T7,61.392768,72.154144,116.258144,16.406688,170.24144,71.272064,116.787392,125.078944,138.133728,25.756736,0.176416,winter_20200804-2_T7
20200804-2,winter,T8,61.216352,71.977728,116.258144,17.288768,170.417856,71.272064,116.787392,125.961024,138.133728,27.873728,0.176416,winter_20200804-2_T8
20200804-2,winter,T9,61.569184,71.977728,116.787392,15.701024,170.770688,71.095648,116.787392,125.078944,138.662976,26.991648,0.176416,winter_20200804-2_T9
20200804-2,winter,T10,61.216352,72.506976,116.258144,16.230272,170.770688,70.919232,117.140224,125.25536,138.310144,26.638816,0.176416,winter_20200804-2_T10
20200625-3,winter,T1,49.749312,73.741888,102.850528,17.994432,158.421568,71.977728,104.96752,126.843104,127.372352,26.285984,0.176416,winter_20200625-3_T1
20200625-3,winter,T2,50.807808,73.918304,104.791104,17.288768,159.303648,71.095648,105.320352,126.313856,127.548768,26.638816,0.176416,winter_20200625-3_T2
20200625-3,winter,T3,49.572896,73.565472,103.20336,17.288768,158.597984,71.44848,104.96752,125.784608,126.843104,26.285984,0.176416,winter_20200625-3_T3
20200625-3,winter,T4,49.925728,73.918304,103.556192,17.288768,158.7744,71.44848,105.320352,125.784608,126.313856,26.285984,0.176416,winter_20200625-3_T4
20200625-3,winter,T5,49.925728,73.918304,102.674112,18.347264,158.597984,71.272064,105.496768,126.666688,125.25536,26.285984,0.176416,winter_20200625-3_T5
20200625-3,winter,T6,50.102144,74.447552,104.614688,16.75952,160.009312,70.919232,105.320352,126.843104,126.843104,27.168064,0.176416,winter_20200625-3_T6
20200625-3,winter,T7,50.102144,74.447552,103.909024,16.230272,159.65648,71.272064,105.320352,126.843104,126.666688,27.34448,0.176416,winter_20200625-3_T7
20200625-3,winter,T8,49.043648,74.09472,103.556192,17.6416,159.303648,71.801312,105.143936,127.725184,126.666688,27.697312,0.176416,winter_20200625-3_T8
20200625-3,winter,T9,50.102144,74.271136,103.026944,16.583104,159.832896,71.624896,105.143936,126.490272,127.01952,27.697312,0.176416,winter_20200625-3_T9
20200625-3,winter,T10,55.218208,68.096576,110.26,13.2312,163.537632,68.449408,109.37792,121.72704,133.370496,24.69824,0.176416,winter_20200625-3_T10
20201031-1,winter,T1,49.220064,73.918304,103.026944,19.052928,157.715904,74.447552,103.556192,127.548768,126.843104,29.461472,0.176416,winter_20201031-1_T1
20201031-1,winter,T2,49.925728,74.623968,103.909024,19.582176,158.245152,74.09472,103.732608,127.725184,126.13744,30.8728,0.176416,winter_20201031-1_T2
20201031-1,winter,T3,49.043648,73.741888,103.026944,19.758592,157.363072,74.09472,103.556192,127.548768,127.372352,30.519968,0.176416,winter_20201031-1_T3
20201031-1,winter,T4,49.220064,73.21264,104.261856,19.229344,157.715904,74.271136,103.556192,127.195936,126.843104,29.814304,0.176416,winter_20201031-1_T4
20201031-1,winter,T5,49.749312,74.271136,105.143936,19.582176,158.245152,74.09472,103.732608,127.725184,129.136512,31.578464,0.176416,winter_20201031-1_T5
20201031-1,winter,T6,49.925728,74.09472,104.438272,19.758592,158.245152,74.271136,103.732608,128.078016,126.13744,30.8728,0.176416,winter_20201031-1_T6
20201031-1,winter,T7,65.979584,76.564544,112.553408,28.755808,159.480064,75.153216,113.78832,121.903456,125.961024,28.22656,0.176416,winter_20201031-1_T7
20201031-1,winter,T8,48.867232,73.741888,101.968448,19.758592,157.539488,74.447552,102.850528,127.9016,124.37328,30.519968,0.176416,winter_20201031-1_T8
20201031-1,winter,T9,48.690816,73.565472,103.20336,18.700096,157.539488,74.271136,103.026944,127.01952,124.726112,31.402048,0.176416,winter_20201031-1_T9
20201031-1,winter,T10,49.572896,74.271136,103.909024,19.758592,158.421568,74.9768,103.20336,127.725184,127.01952,31.049216,0.176416,winter_20201031-1_T10
