season,id,trial,time,frame,x,y,ANGLE,speed,acceleration
spring,20240524-1,T7.npz,1.066666,0,131.09955,87.77969,0.06722338,744.2853,22326.625
spring,20240524-1,T7.npz,1.1,1,131.09955,87.77969,0.06722338,0,22328.111
spring,20240524-1,T7.npz,1.133333,2,131.09955,87.77969,0.06722338,0,0
spring,20240524-1,T7.npz,1.166666,3,131.17871,87.953865,-3.0257945,5.739486,172.18633
spring,20240524-1,T7.npz,1.2,4,131.14455,87.97469,-3.0257945,1.2003759,171.60196
spring,20240524-1,T7.npz,1.233333,5,130.89157,88.49605,-0.81974375,17.384787,491.6457
spring,20240524-1,T7.npz,1.266666,6,130.89157,88.49605,-0.81974375,0,521.5488
spring,20240524-1,T7.npz,1.3,7,130.93329,88.484276,2.8486562,1.300462,39.013084
spring,20240524-1,T7.npz,1.333333,8,130.8937,88.46844,-0.9229034,1.2790118,73.26564
spring,20240524-1,T7.npz,1.366666,9,130.8937,88.46844,-0.9229034,0,38.37074
spring,20240524-1,T7.npz,1.4,10,130.8858,89.23193,-0.14876783,22.9055,687.1513
spring,20240524-1,T7.npz,1.433333,11,130.9067,89.249695,-0.15930726,0.82261837,671.65094
spring,20240524-1,T7.npz,1.466666,12,130.42757,89.71182,-0.1443686,19.970566,602.0604
spring,20240524-1,T7.npz,1.5,13,130.41583,89.71432,-0.13559571,0.3598576,589.973
spring,20240524-1,T7.npz,1.533333,14,130.40448,89.88412,-0.16129248,5.105428,150.57776
spring,20240524-1,T7.npz,1.566666,15,130.40448,89.88412,-0.16129248,0,153.16438
spring,20240524-1,T7.npz,1.6,16,130.40448,89.88412,-0.16129248,0,0
spring,20240524-1,T7.npz,1.633333,17,130.46913,90.111046,0.2976385,7.078651,212.36168
spring,20240524-1,T7.npz,1.666666,18,130.38956,90.10601,0.26752892,2.3917365,245.82378
spring,20240524-1,T7.npz,1.7,19,130.62708,90.20172,0.2376049,7.6819096,299.4156
spring,20240524-1,T7.npz,1.733333,20,130.63431,90.2003,0.23208983,0.2209622,224.932
spring,20240524-1,T7.npz,1.766666,21,130.64696,90.20266,0.25480574,0.38617778,5.9498754
spring,20240524-1,T7.npz,1.8,22,130.99765,90.35794,0.29823792,11.505762,333.90384
spring,20240524-1,T7.npz,1.833333,23,130.99988,90.349625,0.28575033,0.25830257,346.45135
spring,20240524-1,T7.npz,1.866666,24,131.36322,90.71416,0.4914817,15.440729,467.15463
spring,20240524-1,T7.npz,1.9,25,131.36644,90.70684,0.48392347,0.23962583,465.884
spring,20240524-1,T7.npz,1.933333,26,131.38692,90.70684,0.5283687,0.6142221,16.875422
