season,ID ,trial,time,frame,x,y,ANGLE,speed,acceleration
summer,20200625-3,T6,0,0,249.77036,122.27895,0.024054898,0,0
summer,20200625-3,T6,0.033333,1,249.34311,122.09585,0.26946753,13.944903,418.3513
summer,20200625-3,T6,0.066666,2,248.97282,121.6808,0.3950899,16.686565,214.94595
summer,20200625-3,T6,0.1,3,248.60254,121.05418,0.000180175,21.835283,190.4084
summer,20200625-3,T6,0.133333,4,inf,inf,inf,inf,inf
summer,20200625-3,T6,0.166666,5,248.53134,121.253555,0.10862196,3.1757624,359.87186
summer,20200625-3,T6,0.2,6,248.181,121.06557,0.36789185,11.927438,383.74756
summer,20200625-3,T6,0.233333,7,inf,inf,inf,inf,inf
summer,20200625-3,T6,0.266666,8,inf,inf,inf,inf,inf
summer,20200625-3,T6,0.3,9,247.58284,121.27919,0.024054898,6.351635,89.983444
summer,20200625-3,T6,0.333333,10,inf,inf,inf,inf,inf
summer,20200625-3,T6,0.366666,11,inf,inf,inf,inf,inf
summer,20200625-3,T6,0.4,12,inf,inf,inf,inf,inf
summer,20200625-3,T6,0.433333,13,247.50594,121.89443,0.03773657,4.650207,44.593834
summer,20200625-3,T6,0.466666,14,247.50594,121.89443,0.03773657,0,139.50761
summer,20200625-3,T6,0.5,15,inf,inf,inf,inf,inf
summer,20200625-3,T6,0.533333,16,inf,inf,inf,inf,inf
summer,20200625-3,T6,0.566666,17,247.40106,122.61687,1.0272635,7.3001246,73.00124
summer,20200625-3,T6,0.6,18,247.39676,122.59227,1.1340922,0.7490731,240.45126
summer,20200625-3,T6,0.633333,19,247.72612,122.64704,-2.6320212,10.01693,308.6909
summer,20200625-3,T6,0.666666,20,247.81721,122.40713,0.46470934,7.69883,341.076
summer,20200625-3,T6,0.7,21,inf,inf,inf,inf,inf
summer,20200625-3,T6,0.733333,22,248.24936,122.227684,-2.930697,7.018682,87.92368
summer,20200625-3,T6,0.766666,23,248.22568,122.022606,0.13480212,6.193223,239.44702
summer,20200625-3,T6,0.8,24,248.5794,122.15078,-2.8433971,11.286507,453.10745
summer,20200625-3,T6,0.833333,25,248.30061,121.66372,0.3390816,16.83637,794.1413
summer,20200625-3,T6,0.866666,26,248.47307,121.71964,-2.8839793,5.4389467,635.4269
summer,20200625-3,T6,0.9,27,249.00635,121.40435,0.043103166,18.584982,465.89777
summer,20200625-3,T6,0.933333,28,248.56184,121.42445,0.06261306,13.348694,930.3318
summer,20200625-3,T6,0.966666,29,248.5057,121.407364,-2.757137,1.7604655,351.12863
summer,20200625-3,T6,1,30,248.78769,121.38173,0.014681935,8.494082,304.39276
summer,20200625-3,T6,1.033333,31,248.80904,121.36037,-0.474421,0.9062879,234.58789
summer,20200625-3,T6,1.066666,32,248.71867,121.40145,0.042611625,2.978279,115.2025
summer,20200625-3,T6,1.1,33,248.57407,121.461075,-0.12641674,4.6922774,51.574
summer,20200625-3,T6,1.133333,34,248.7129,121.37105,2.808947,4.9643025,288.4741
summer,20200625-3,T6,1.166666,35,inf,inf,inf,inf,inf
summer,20200625-3,T6,1.2,36,249.34311,121.061295,1.7425791,10.533195,84.51288
summer,20200625-3,T6,1.233333,37,249.14658,121.24074,2.2359655,7.9840956,550.0723
summer,20200625-3,T6,1.266666,38,249.58237,121.407364,-0.35895455,13.996695,569.2132
summer,20200625-3,T6,1.3,39,inf,inf,inf,inf,inf
summer,20200625-3,T6,1.333333,40,inf,inf,inf,inf,inf
summer,20200625-3,T6,1.366666,41,249.40526,119.505714,1.6334096,19.0988,282.32947
summer,20200625-3,T6,1.4,42,inf,inf,inf,inf,inf
summer,20200625-3,T6,1.433333,43,249.55673,120.1607,1.5908394,10.083956,436.84546
summer,20200625-3,T6,1.466666,44,249.72154,119.62652,1.7674507,16.770748,779.6415
summer,20200625-3,T6,1.5,45,249.63054,120.08833,-1.503306,14.120433,925.4568
summer,20200625-3,T6,1.533333,46,249.51013,120.111626,0.935487,3.6794608,395.5441
summer,20200625-3,T6,1.566666,47,249.47662,119.96379,1.6127825,4.5475216,172.74838
summer,20200625-3,T6,1.6,48,249.67209,119.86927,0.8272741,6.513669,211.57645
summer,20200625-3,T6,1.633333,49,249.66661,119.99012,0.3496668,3.629353,265.11703
summer,20200625-3,T6,1.666666,50,inf,inf,inf,inf,inf
summer,20200625-3,T6,1.7,51,249.6849,120.06794,-2.6689613,1.1991156,37.45947
summer,20200625-3,T6,1.733333,52,inf,inf,inf,inf,inf
summer,20200625-3,T6,1.766666,53,inf,inf,inf,inf,inf
summer,20200625-3,T6,1.8,54,inf,inf,inf,inf,inf
summer,20200625-3,T6,1.833333,55,246.99324,120.74085,-0.018334031,20.808916,156.20103
summer,20200625-3,T6,1.866666,56,inf,inf,inf,inf,inf
summer,20200625-3,T6,1.9,57,inf,inf,inf,inf,inf
summer,20200625-3,T6,1.933333,58,inf,inf,inf,inf,inf
