season,ID,trial,time,frame,x,y,ANGLE,speed,acceleration
summer,20200625-7,T7,0,0,115.22723,97.408806,-2.4600003,0,0
summer,20200625-7,T7,0.033333,1,115.269714,97.54645,-0.9206009,4.3215294,129.64717
summer,20200625-7,T7,0.066666,2,115.481544,97.80167,-2.04132,9.950438,185.54752
summer,20200625-7,T7,0.1,3,115.54707,98.09373,-1.333313,8.979573,135.773
summer,20200625-7,T7,0.133333,4,115.50257,98.29135,1.3771317,6.0771904,130.50601
summer,20200625-7,T7,0.166666,5,115.562584,98.2789,-1.3104389,1.8387295,211.18004
summer,20200625-7,T7,0.2,6,115.81583,98.1102,-2.1362922,9.128498,223.63771
summer,20200625-7,T7,0.233333,7,115.98246,97.927376,0.12312621,7.4210544,78.97418
summer,20200625-7,T7,0.266666,8,116.2294,97.707726,-2.6063051,9.914884,79.515205
summer,20200625-7,T7,0.3,9,116.45875,97.53435,-3.0902693,8.625135,44.55912
summer,20200625-7,T7,0.333333,10,116.5556,97.48316,3.0347419,3.2863996,162.21297
summer,20200625-7,T7,0.366666,11,116.79097,97.43393,-3.0575259,7.2139297,124.680466
summer,20200625-7,T7,0.4,12,116.86076,97.47646,-3.066626,2.4518752,170.37521
summer,20200625-7,T7,0.433333,13,116.88661,97.63338,-2.782751,4.7707753,110.27589
summer,20200625-7,T7,0.466666,14,116.85092,97.62232,-2.7533767,1.1208733,160.99666
summer,20200625-7,T7,0.5,15,116.91499,97.80507,-2.861194,5.80956,196.16844
summer,20200625-7,T7,0.533333,16,116.980736,98.171646,0.39296252,11.172945,165.46135
summer,20200625-7,T7,0.566666,17,117.14341,98.44866,0.57775843,9.637446,118.78067
summer,20200625-7,T7,0.6,18,117.204315,98.804955,0.5629445,10.8435545,116.100624
summer,20200625-7,T7,0.633333,19,117.532196,99.329,-2.8161974,18.54527,283.78857
summer,20200625-7,T7,0.666666,20,117.78943,99.93945,0.8009727,19.873232,100.44503
summer,20200625-7,T7,0.7,21,118.1054,100.43973,-2.3138433,17.750782,112.37442
summer,20200625-7,T7,0.733333,22,118.332535,100.80565,0.9806997,12.920705,144.9471
summer,20200625-7,T7,0.766666,23,118.61322,101.258255,-1.9900331,15.977366,91.70093
summer,20200625-7,T7,0.8,24,118.82603,101.766495,1.2361728,16.529512,78.987946
summer,20200625-7,T7,0.833333,25,119.01267,102.3929,1.0677676,19.608728,108.9347
summer,20200625-7,T7,0.866666,26,119.182594,103.13839,-1.9761229,22.938648,108.23714
summer,20200625-7,T7,0.9,27,119.57449,103.931305,-1.9577636,26.533699,204.27457
summer,20200625-7,T7,0.933333,28,119.86716,104.57114,-1.9271994,21.107862,164.16945
summer,20200625-7,T7,0.966666,29,120.36692,105.419014,-1.9659224,29.526495,264.20755
