season,ID,trial,time,frame,x,y,ANGLE,speed,acceleration
winter,20201106-1,T1,0,0,64.29424,73.946075,0.49109396,0,0
winter,20201106-1,T1,0.033333,1,64.44022,74.02392,0.7186941,4.9630227,148.89217
winter,20201106-1,T1,0.066666,2,64.44353,74.09696,0.8288838,2.1936822,128.47832
winter,20201106-1,T1,0.1,3,64.4843,74.1537,0.88444644,2.096035,36.77412
winter,20201106-1,T1,0.133333,4,64.51148,74.45881,1.1190661,9.189649,223.87355
winter,20201106-1,T1,0.166666,5,64.5438,74.58379,-1.3439031,3.8727503,162.18687
winter,20201106-1,T1,0.2,6,64.58852,74.741295,1.0781842,4.9116917,31.319622
winter,20201106-1,T1,0.233333,7,64.61929,74.887985,1.1030872,4.4966364,15.868575
winter,20201106-1,T1,0.266666,8,64.57946,74.984795,1.3211976,3.140621,77.810715
winter,20201106-1,T1,0.3,9,64.66123,75.11348,1.1683481,4.573944,113.1405
winter,20201106-1,T1,0.333333,10,64.71838,75.10101,1.028636,1.7548178,128.95453
winter,20201106-1,T1,0.366666,11,64.83911,75.2367,-2.2105649,5.44877,145.10423
winter,20201106-1,T1,0.4,12,64.90299,75.24934,-2.1600955,1.953453,121.99551
winter,20201106-1,T1,0.433333,13,64.964745,75.243034,0.8880321,1.8622099,17.153076
winter,20201106-1,T1,0.466666,14,64.92368,75.28738,-2.3142555,1.8131434,103.15421
winter,20201106-1,T1,0.5,15,64.92767,75.227516,0.8150295,1.7998289,102.176445
winter,20201106-1,T1,0.533333,16,64.96572,75.27963,0.8333558,1.9359225,105.34181
winter,20201106-1,T1,0.566666,17,65.00725,75.34598,-0.7786422,2.3479347,13.174251
winter,20201106-1,T1,0.6,18,65.137596,75.54046,-2.2419798,7.0235987,140.31853
winter,20201106-1,T1,0.633333,19,65.13471,75.53927,-2.3234563,0.09349293,213.04858
winter,20201106-1,T1,0.666666,20,65.22401,75.529884,-2.2309594,2.693644,83.28708
winter,20201106-1,T1,0.7,21,65.27679,75.54433,-2.2526019,1.6415159,39.244987
winter,20201106-1,T1,0.733333,22,65.21739,75.52976,-2.2749355,1.8348131,104.28169
winter,20201106-1,T1,0.766666,23,65.201,75.59476,-2.271519,2.0110002,81.404945
winter,20201106-1,T1,0.8,24,65.209526,75.65093,-2.2437806,1.7044843,23.784775
winter,20201106-1,T1,0.833333,25,65.23075,75.68121,-2.237705,1.1093717,25.959852
winter,20201106-1,T1,0.866666,26,65.364174,75.74283,-2.2194557,4.409057,104.84559
winter,20201106-1,T1,0.9,27,65.383675,75.76665,-2.245409,0.9234481,108.02971
winter,20201106-1,T1,0.933333,28,65.43051,75.81074,-2.311677,1.9296333,30.627764
winter,20201106-1,T1,0.966666,29,65.48104,75.88582,-2.3389528,2.7150385,28.092932
winter,20201106-1,T1,1,30,65.493454,75.8493,-2.2755547,1.1572568,106.13861
winter,20201106-1,T1,1.033333,31,65.46624,75.81463,-2.3123162,1.3221953,35.706547
winter,20201106-1,T1,1.066666,32,65.32762,75.64842,-2.2809389,6.4926867,155.13809
winter,20201106-1,T1,1.1,33,65.44502,75.55384,-2.5472713,4.5229125,239.25876
winter,20201106-1,T1,1.133333,34,65.594025,75.466774,0.3979899,5.1772194,29.23643
winter,20201106-1,T1,1.166666,35,65.6988,75.41684,0.35455364,3.4820487,51.968433
winter,20201106-1,T1,1.2,36,65.86143,75.39356,0.26852372,4.928454,57.32917
winter,20201106-1,T1,1.233333,37,66.08656,75.29903,0.18943746,7.325354,85.31508
winter,20201106-1,T1,1.266666,38,66.511,75.13204,-0.0038344895,13.683221,190.85992
winter,20201106-1,T1,1.3,39,66.67987,74.87918,-0.08547228,9.121865,242.65115
winter,20201106-1,T1,1.333333,40,66.75236,74.62702,-0.13046336,7.871254,86.742
winter,20201106-1,T1,1.366666,41,66.790825,74.46194,2.7916913,5.08522,84.14011
winter,20201106-1,T1,1.4,42,67.01558,74.22531,-0.5774129,9.790388,179.589
winter,20201106-1,T1,1.433333,43,67.242584,73.98428,-0.7914142,9.932948,4.457374
winter,20201106-1,T1,1.466666,44,67.555275,73.70087,1.9669725,12.66087,86.04707
winter,20201106-1,T1,1.5,45,67.63464,73.313225,-0.8239812,11.870162,229.98662
winter,20201106-1,T1,1.533333,46,68.081665,72.971344,2.225817,16.883392,333.4479
winter,20201106-1,T1,1.566666,47,68.46223,72.769226,2.3826146,12.927114,139.2967
winter,20201106-1,T1,1.6,48,68.85471,72.674736,2.473495,12.110849,97.453476
winter,20201106-1,T1,1.633333,49,69.06423,72.660126,2.6690593,6.3007956,179.6776
winter,20201106-1,T1,1.666666,50,69.23699,72.77509,2.883246,6.225565,121.222595
winter,20201106-1,T1,1.7,51,69.36783,72.90621,3.0456605,5.5569963,40.433308
