season,ID,trial,time,frame,x,y,ANGLE,speed,acceleration
winter,20240303-1,T7,0,0,81.2575,144.9085,-2.4348505,0,0
winter,20240303-1,T7,0.033333,1,81.2575,144.9085,-2.4348505,0,0
winter,20240303-1,T7,0.066666,2,81.2575,144.9085,-2.4348505,0,0
winter,20240303-1,T7,0.1,3,81.21011,144.62192,-2.188332,8.713478,261.39914
winter,20240303-1,T7,0.133333,4,81.20918,144.62099,-2.191372,0.039546832,260.44336
winter,20240303-1,T7,0.166666,5,81.25365,144.5379,-2.2355947,2.827039,84.47582
winter,20240303-1,T7,0.2,6,81.25365,144.54744,-2.239191,0.28581408,92.45779
winter,20240303-1,T7,0.233333,7,81.20079,144.53627,-2.414775,1.6205558,51.08205
winter,20240303-1,T7,0.266666,8,81.21853,144.54068,-2.3366644,0.5482525,65.05732
winter,20240303-1,T7,0.3,9,81.205475,144.55336,-2.384597,0.5458996,28.692356
winter,20240303-1,T7,0.333333,10,81.19057,144.55746,-2.23697,0.46405968,7.8996816
winter,20240303-1,T7,0.366666,11,81.137054,144.50735,-2.3912256,2.1992621,59.895058
winter,20240303-1,T7,0.4,12,81.11543,144.45712,0.6543362,1.6405203,28.692707
winter,20240303-1,T7,0.433333,13,81.11543,144.45712,0.6543362,0,49.216103
winter,20240303-1,T7,0.466666,14,81.11543,144.45712,0.6543362,0,0
winter,20240303-1,T7,0.5,15,81.09021,144.33035,0.6240185,3.8777664,116.330666
winter,20240303-1,T7,0.533333,16,81.07418,144.3161,0.64074,0.6431794,101.61799
winter,20240303-1,T7,0.566666,17,81.11189,144.32487,0.5987403,1.1613548,52.605865
winter,20240303-1,T7,0.6,18,81.09883,144.31877,0.688741,0.43231624,47.604534
winter,20240303-1,T7,0.633333,19,81.054535,144.27745,0.6167904,1.8175758,42.383144
winter,20240303-1,T7,0.666666,20,81.04094,144.26204,0.63598424,0.61645496,36.164944
winter,20240303-1,T7,0.7,21,81.04094,144.26204,0.63598424,0,18.493282
winter,20240303-1,T7,0.733333,22,81.0241,144.23721,-2.2992601,0.8999969,27.000175
winter,20240303-1,T7,0.766666,23,81.01871,144.24445,-2.2977908,0.27071232,30.637743
winter,20240303-1,T7,0.8,24,80.88536,144.13614,1.0249509,5.153385,155.14516
winter,20240303-1,T7,0.833333,25,80.88536,144.13614,1.0249509,0,154.6031
winter,20240303-1,T7,0.866666,26,80.87627,144.13216,1.0439917,0.2978554,8.93575
winter,20240303-1,T7,0.9,27,80.86485,144.09349,1.0629362,1.2091917,31.261864
winter,20240303-1,T7,0.933333,28,80.877014,144.14641,1.1584911,1.6288776,85.10382
winter,20240303-1,T7,0.966666,29,80.877014,144.14641,1.1584911,0,48.86682
winter,20240303-1,T7,1,30,80.877014,144.14641,1.1584911,0,0
winter,20240303-1,T7,1.033333,31,80.88141,144.15619,1.1475916,0.32182547,9.6548605
winter,20240303-1,T7,1.066666,32,80.8605,144.05823,1.0926616,3.0053575,99.62195
winter,20240303-1,T7,1.1,33,80.859215,144.06393,1.0980738,0.17553602,94.96859
winter,20240303-1,T7,1.133333,34,80.8745,144.05037,1.2434694,0.61310166,22.875246
winter,20240303-1,T7,1.166666,35,80.8745,144.05037,1.2434694,0,18.393234
winter,20240303-1,T7,1.2,36,80.8936,143.73967,-1.7971275,9.338161,280.13925
winter,20240303-1,T7,1.233333,37,80.89482,143.75104,-1.8048247,0.34289908,290.29453
winter,20240303-1,T7,1.266666,38,80.88536,143.7348,-1.7771022,0.56368405,26.633253
winter,20240303-1,T7,1.3,39,81.07488,143.49931,-1.4356489,9.0684185,266.47586
winter,20240303-1,T7,1.333333,40,81.08602,143.50488,-1.404543,0.37373126,269.9001
winter,20240303-1,T7,1.366666,41,81.3291,142.79544,1.540072,22.498327,676.54443
winter,20240303-1,T7,1.4,42,81.3197,142.78502,-1.2519062,0.42091128,668.9034
winter,20240303-1,T7,1.433333,43,81.60912,141.59149,-1.8825071,36.8438,1098.2596
winter,20240303-1,T7,1.466666,44,81.5947,141.59225,-1.934122,0.43322194,1109.1122
winter,20240303-1,T7,1.5,45,81.577126,141.6419,-1.887222,1.5801322,44.100025
winter,20240303-1,T7,1.533333,46,81.788605,141.12135,-1.7262886,16.856321,553.0539
winter,20240303-1,T7,1.566666,47,81.79868,141.14973,-1.7049174,0.9035936,526.25867
winter,20240303-1,T7,1.6,48,81.791,141.1461,-1.5844778,0.25486082,32.947136
winter,20240303-1,T7,1.633333,49,81.791,141.1461,-1.5844778,0,7.645901
winter,20240303-1,T7,1.666666,50,81.77399,141.17,-1.6108173,0.8797295,26.39215
winter,20240303-1,T7,1.7,51,81.720634,139.61128,-1.4846028,46.787968,1424.6617
winter,20240303-1,T7,1.733333,52,81.71351,139.6121,-1.4697974,0.21521963,1404.1981
winter,20240303-1,T7,1.766666,53,81.74426,139.02466,-1.5989038,17.648066,530.5698
winter,20240303-1,T7,1.8,54,81.736244,139.04262,1.3743417,0.5902562,545.9958
winter,20240303-1,T7,1.833333,55,81.69745,138.83186,-1.4877349,6.429034,207.71487
winter,20240303-1,T7,1.866666,56,81.67565,138.83441,-1.532023,0.6583983,192.59328
winter,20240303-1,T7,1.9,57,81.686455,138.83736,-1.5509152,0.33578262,29.338995
winter,20240303-1,T7,1.933333,58,81.7252,138.76776,-1.3584899,2.3898706,69.96783
winter,20240303-1,T7,1.966666,59,81.69224,138.77174,-1.4794463,0.9958968,92.4742
winter,20240303-1,T7,2,60,81.72074,138.50931,-1.436022,7.9192204,246.06935
winter,20240303-1,T7,2.033333,61,81.73601,138.50374,-1.4976676,0.48740193,231.48763
winter,20240303-1,T7,2.066666,62,81.54236,138.11993,-2.6777318,12.896938,388.899
winter,20240303-1,T7,2.1,63,81.54867,138.10803,-2.7724607,0.40413615,380.0237
winter,20240303-1,T7,2.133333,64,81.54026,138.12558,-2.8056164,0.5837677,29.631481
winter,20240303-1,T7,2.166666,65,81.53085,137.65529,2.662049,14.111654,439.06436
winter,20240303-1,T7,2.2,66,81.53332,137.62053,2.6503549,1.0455837,392.1138
winter,20240303-1,T7,2.233333,67,81.313675,136.65424,-1.7218323,29.728521,861.89325
winter,20240303-1,T7,2.266666,68,81.32476,136.67451,-1.7165893,0.6936903,911.90247
winter,20240303-1,T7,2.3,69,81.321976,136.67178,-1.7256817,0.11712151,24.193598
winter,20240303-1,T7,2.333333,70,81.32781,136.6645,-1.7273585,0.2800478,8.775521
winter,20240303-1,T7,2.366666,71,81.318085,136.64468,-1.7389736,0.6622249,17.97977
winter,20240303-1,T7,2.4,72,81.30599,136.62384,-1.7233818,0.7229726,2.3222573
winter,20240303-1,T7,2.433333,73,81.16986,136.01941,1.5875454,18.587168,536.9652
winter,20240303-1,T7,2.466666,74,81.164116,136.02008,1.5834161,0.17352977,557.09875
winter,20240303-1,T7,2.5,75,81.262505,135.96065,1.4128336,3.4485233,108.21356
winter,20240303-1,T7,2.533333,76,81.25591,135.93379,1.4151245,0.82952535,98.936134
winter,20240303-1,T7,2.566666,77,81.25229,135.86337,1.5922209,2.1151364,39.29491
winter,20240303-1,T7,2.6,78,81.25229,135.86337,1.5922209,0,63.452824
winter,20240303-1,T7,2.633333,79,81.25871,135.84123,1.5643506,0.69181514,20.754662
winter,20240303-1,T7,2.666666,80,81.33309,135.75122,1.5824763,3.5029032,86.43161
winter,20240303-1,T7,2.7,81,81.30825,135.74109,1.6179415,0.80472267,114.62855
winter,20240303-1,T7,2.733333,82,81.56783,135.25089,1.7590702,16.640625,502.1963
winter,20240303-1,T7,2.766666,83,81.57437,135.24678,1.7752111,0.23171788,493.21533
winter,20240303-1,T7,2.8,84,82.04324,134.61699,-0.9483583,23.554564,700.14764
winter,20240303-1,T7,2.833333,85,82.04324,134.61699,-0.9483583,0,706.644
winter,20240303-1,T7,2.866666,86,82.05021,134.61987,-0.9475908,0.2261517,6.78462
winter,20240303-1,T7,2.9,87,82.853615,133.705,2.3930156,36.5259,1093.5901
winter,20240303-1,T7,2.933333,88,82.84745,133.68404,2.3764691,0.655818,1085.3943
winter,20240303-1,T7,2.966666,89,82.85493,133.67488,2.3806894,0.35468513,16.24089
winter,20240303-1,T7,3,90,82.84807,133.68033,2.3694901,0.26290774,18.423803
winter,20240303-1,T7,3.033333,91,82.85121,133.68414,2.3931603,0.14841685,9.122315
winter,20240303-1,T7,3.066666,92,87.38443,130.73026,2.717868,162.32219,4869.22
winter,20240303-1,T7,3.1,93,87.38443,130.73026,2.717868,0,4869.5684
winter,20240303-1,T7,3.133333,94,90.89282,129.4085,-0.16365825,112.47479,3374.2773
winter,20240303-1,T7,3.166666,95,90.87521,129.42209,-0.16914134,0.6676506,3393.4329
winter,20240303-1,T7,3.2,96,94.33635,128.78712,3.1140397,105.56478,3184.6934
winter,20240303-1,T7,3.233333,97,94.343704,128.79613,3.1238592,0.3487255,3161.936
winter,20240303-1,T7,3.266666,98,94.34924,128.7884,3.1191406,0.28518942,15.14103
winter,20240303-1,T7,3.3,99,97.35411,129.17294,0.006132605,90.87925,2722.2717
winter,20240303-1,T7,3.333333,100,97.33965,129.17142,0.011964513,0.43611044,2739.485
winter,20240303-1,T7,3.366666,101,100.55694,129.50206,3.1393402,97.02793,2923.9502
winter,20240303-1,T7,3.4,102,100.56807,129.50351,3.1351018,0.33677146,2900.681
