ID,Trial,Season,time,frame,x,y,ANGLE,speed,acceleration
summer,20200623-1,T2,0.0,0.0,190.94412,60.34113,0.65706474,0.0,0.0
summer,20200623-1,T2,0.033333,1.0,190.96945,60.366657,0.82881254,1.0785599,32.35712
summer,20200623-1,T2,0.066666,2.0,190.94656,60.385807,0.5201654,0.89501077,43.75055
summer,20200623-1,T2,0.1,3.0,190.95804,60.53105,0.9025349,4.3708315,117.61364
summer,20200623-1,T2,0.133333,4.0,190.96855,60.687813,1.2700943,4.713441,10.40377
summer,20200623-1,T2,0.166666,5.0,190.93135,60.73642,1.4972842,1.8363643,106.39622
summer,20200623-1,T2,0.2,6.0,190.79532,60.798588,1.8322707,4.4867654,89.769005
summer,20200623-1,T2,0.233333,7.0,190.62828,60.90531,1.9562849,5.946763,48.862167
summer,20200623-1,T2,0.266666,8.0,190.64459,60.948425,1.9664643,1.3829759,174.67552
summer,20200623-1,T2,0.3,9.0,190.6597,61.008816,1.8212984,1.8674599,15.586739
summer,20200623-1,T2,0.333333,10.0,190.6843,61.104927,1.8336668,2.9762995,33.267838
summer,20200623-1,T2,0.366666,11.0,190.85733,61.39298,1.7673253,10.080959,218.38226
summer,20200623-1,T2,0.4,12.0,190.96758,61.484417,1.8182745,4.2967887,185.76003
summer,20200623-1,T2,0.433333,13.0,191.10098,61.600025,1.6287409,5.2961335,30.139381
summer,20200623-1,T2,0.466666,14.0,190.9905,61.81767,1.6059096,7.322675,237.95966
summer,20200623-1,T2,0.5,15.0,191.05708,62.026623,1.2467526,6.5790963,159.56572
summer,20200623-1,T2,0.533333,16.0,191.19035,62.255352,-1.4913797,7.941865,62.604687
summer,20200623-1,T2,0.566666,17.0,191.24243,62.488304,0.99374294,7.16106,73.18427
summer,20200623-1,T2,0.6,18.0,191.27773,62.62645,0.8156837,4.277433,86.65274
summer,20200623-1,T2,0.633333,19.0,191.6053,62.73036,0.68113184,10.309823,264.8512
summer,20200623-1,T2,0.666666,20.0,191.77106,62.751297,-1.7926458,5.0122952,163.66428
summer,20200623-1,T2,0.7,21.0,192.08025,62.74343,-1.9110688,9.27845,131.65514
summer,20200623-1,T2,0.733333,22.0,192.21786,62.851665,-1.9441506,5.2527204,186.43742
summer,20200623-1,T2,0.766666,23.0,192.34875,62.91476,-2.3506825,4.358921,41.080933
summer,20200623-1,T2,0.8,24.0,192.37811,63.158863,-2.2301493,7.3757467,186.77092
summer,20200623-1,T2,0.833333,25.0,192.39009,63.297993,-2.195021,4.1892834,95.76199
summer,20200623-1,T2,0.866666,26.0,192.39801,63.410007,0.64975864,3.3689034,24.671669
summer,20200623-1,T2,0.9,27.0,192.59317,63.42867,-2.413003,5.8813033,188.29333
summer,20200623-1,T2,0.933333,28.0,192.46393,63.21225,-2.3629394,7.56225,360.56094
summer,20200623-1,T2,0.966666,29.0,192.5116,63.266457,-2.6418786,2.165688,290.9962
summer,20200623-1,T2,1.0,30.0,192.55295,63.24521,-2.4745374,1.3947515,68.14584
summer,20200623-1,T2,1.033333,31.0,192.57953,63.27387,0.27248916,1.1727291,46.843014
summer,20200623-1,T2,1.066666,32.0,192.70988,63.274082,-2.4344974,3.91054,96.83729
summer,20200623-1,T2,1.1,33.0,192.67099,63.284912,-2.5270984,1.2112464,152.61859
summer,20200623-1,T2,1.133333,34.0,192.64197,63.232155,-2.521405,1.806394,57.911076
summer,20200623-1,T2,1.166666,35.0,192.47763,63.188347,-2.4345865,5.1022463,122.04707
summer,20200623-1,T2,1.2,36.0,192.27377,63.069145,0.94673145,7.08434,76.60493
summer,20200623-1,T2,1.233333,37.0,192.18275,63.104828,0.9837366,2.9328516,172.46751
summer,20200623-1,T2,1.266666,38.0,192.10507,63.225105,1.1861572,4.2955475,77.07395
summer,20200623-1,T2,1.3,39.0,192.07097,63.3919,1.4967209,5.10728,57.36137
summer,20200623-1,T2,1.333333,40.0,191.97139,63.45749,-1.5553987,3.5770702,108.47766
summer,20200623-1,T2,1.366666,41.0,191.85295,63.603622,-1.5083185,5.643217,74.45344
summer,20200623-1,T2,1.4,42.0,191.77267,63.86544,-1.3863908,8.215346,109.628204
summer,20200623-1,T2,1.433333,43.0,191.62688,64.06951,2.0049744,7.5240827,78.595024
summer,20200623-1,T2,1.466666,44.0,191.37361,64.53528,-1.304538,15.9053955,254.62122
summer,20200623-1,T2,1.5,45.0,191.2371,64.79871,-1.2589446,8.900745,210.25627
summer,20200623-1,T2,1.533333,46.0,190.76822,65.45686,1.9228868,24.243093,464.44122
summer,20200623-1,T2,1.566666,47.0,190.56363,65.83796,2.00514,12.976435,344.61456
summer,20200623-1,T2,1.6,48.0,190.45242,66.21959,1.9580926,11.924563,84.05726
summer,20200623-1,T2,1.633333,49.0,190.4275,66.47866,1.8795862,7.8081384,134.87773
summer,20200623-1,T2,1.666666,50.0,190.36632,66.80969,1.9053509,10.099402,72.524254
summer,20200623-1,T2,1.7,51.0,190.35745,67.00365,-1.2576591,5.8245373,132.05656
summer,20200623-1,T2,1.733333,52.0,190.19435,67.29588,-1.2905755,10.040116,164.59856
summer,20200623-1,T2,1.766666,53.0,189.96037,67.73672,1.9896435,14.972563,148.17819
summer,20200623-1,T2,1.8,54.0,189.65132,68.09371,2.1020417,14.165478,101.29502
summer,20200623-1,T2,1.833333,55.0,189.42087,68.398026,-1.0764643,11.451967,85.15452
summer,20200623-1,T2,1.866666,56.0,189.06001,68.81059,-1.1709512,16.443413,152.52917
summer,20200623-1,T2,1.9,57.0,188.86491,68.95688,-1.0152521,7.315264,282.29266
summer,20200623-1,T2,1.933333,58.0,188.32281,69.58419,-0.96079,24.87293,533.8289
summer,20200623-1,T2,1.966666,59.0,187.7382,69.96446,2.4287968,20.922503,225.60185
summer,20200623-1,T2,2.0,60.0,187.2719,70.40786,-0.861921,19.303452,120.68218
summer,20200623-1,T2,2.033333,61.0,187.03967,70.570526,2.4917722,8.505938,328.95575
summer,20200623-1,T2,2.066666,62.0,186.60735,71.021835,2.5722578,18.749268,316.10495
summer,20200623-1,T2,2.1,63.0,186.35043,71.30228,-0.8065221,11.409623,220.4016
summer,20200623-1,T2,2.133333,64.0,185.93387,71.54168,-0.7799956,14.414022,148.3674
summer,20200623-1,T2,2.166666,65.0,185.34106,71.96468,-0.92032623,21.84779,229.05005
summer,20200623-1,T2,2.2,66.0,184.97162,72.09593,2.4376876,11.761669,330.70023
summer,20200623-1,T2,2.233333,67.0,184.72241,72.30378,-0.82149696,9.735261,128.3099
summer,20200623-1,T2,2.266666,68.0,184.36717,72.50872,-0.76020586,12.303848,95.48398
summer,20200623-1,T2,2.3,69.0,184.13684,72.758385,2.5978115,10.190376,119.42186
summer,20200623-1,T2,2.333333,70.0,183.83157,73.037094,-0.69985974,12.400781,72.33448
summer,20200623-1,T2,2.366666,71.0,183.28651,73.490326,-0.7224951,21.266438,266.92667
summer,20200623-1,T2,2.4,72.0,182.84784,73.77781,-0.9081221,15.734277,177.2609
summer,20200623-1,T2,2.433333,73.0,182.18945,74.36287,-0.92403185,26.423433,332.9213
summer,20200623-1,T2,2.466666,74.0,181.74472,74.85792,-0.8252803,19.964567,208.65634
summer,20200623-1,T2,2.5,75.0,181.40594,75.30876,-0.82390225,16.917831,103.3411
summer,20200623-1,T2,2.533333,76.0,180.95647,75.83012,-0.9125403,20.651203,118.15071
summer,20200623-1,T2,2.566666,77.0,180.12904,76.65258,2.2091446,34.999695,434.9006
summer,20200623-1,T2,2.6,78.0,179.69478,77.309906,2.1866453,23.634216,383.79285
summer,20200623-1,T2,2.633333,79.0,179.21124,78.11104,2.2083335,28.072897,136.8387
summer,20200623-1,T2,2.666666,80.0,178.95071,78.84143,2.0048544,23.26409,210.58156
summer,20200623-1,T2,2.7,81.0,178.57317,79.65719,1.8618159,26.966267,130.34482
summer,20200623-1,T2,2.733333,82.0,178.22517,80.20783,1.7295365,19.541798,240.06773
summer,20200623-1,T2,2.766666,83.0,177.97357,80.75485,-1.227526,18.063334,86.82049
summer,20200623-1,T2,2.8,84.0,177.81276,81.68945,1.9768343,28.449358,358.23196
summer,20200623-1,T2,2.833333,85.0,177.8371,82.23729,1.8266457,16.451616,385.89032
summer,20200623-1,T2,2.866666,86.0,177.70346,82.92109,1.6927409,20.902311,187.57988
summer,20200623-1,T2,2.9,87.0,177.4702,83.53059,1.7042661,19.577778,111.8552
summer,20200623-1,T2,2.933333,88.0,177.36574,84.10252,1.9084437,17.442183,120.72711
summer,20200623-1,T2,2.966666,89.0,177.18983,84.66638,-1.2470263,17.719818,64.69453
summer,20200623-1,T2,3.0,90.0,177.03165,85.31328,1.9833118,19.978354,76.402824
summer,20200623-1,T2,3.033333,91.0,176.79646,85.77972,-1.1841983,15.671252,176.57278
summer,20200623-1,T2,3.066666,92.0,176.47668,86.17188,-1.1538199,15.180727,101.31701
summer,20200623-1,T2,3.1,93.0,176.04749,86.70537,-1.0341283,20.540932,160.84053
summer,20200623-1,T2,3.133333,94.0,175.95209,86.60378,-1.0814749,4.1806774,645.7075
summer,20200623-1,T2,3.166666,95.0,175.84517,86.640236,-1.0896527,3.388648,124.66307
summer,20200623-1,T2,3.2,96.0,175.8317,86.68414,-1.0935501,1.3779176,84.36333
summer,20200623-1,T2,3.233333,97.0,175.83533,86.937294,-1.0833421,7.5953665,188.94778
summer,20200623-1,T2,3.266666,98.0,175.88503,86.97627,-0.997414,1.8946412,197.16931
summer,20200623-1,T2,3.3,99.0,175.94775,87.271904,-0.9712883,9.066395,231.28392
summer,20200623-1,T2,3.333333,100.0,175.87384,87.528755,2.158241,8.018305,127.833176
summer,20200623-1,T2,3.366666,101.0,175.74133,87.814545,-0.97311854,9.450514,58.817764
summer,20200623-1,T2,3.4,102.0,175.76938,88.11681,1.9556181,9.106719,145.26242
